generation,average life time,peso food,peso poison,raio food,raio poison
405,607.91843213796,0,0,0,0
406,607.9914338185448,0,0,0,0
407,607.9899897930322,0,0,0,0
408,608.0390405496595,0,0,0,0
409,608.03886181649,0,0,0,0
410,608.0876517872413,0,0,0,0
411,608.063557050251,0,0,0,0
412,608.0804163069778,0,0,0,0
413,608.0634358240105,0,0,0,0
414,608.1334334285852,0,0,0,0
415,608.1003731838988,0,0,0,0
416,608.1055700106003,0,0,0,0
417,608.1598943006426,0,0,0,0
418,608.1084971236817,0,0,0,0
419,608.1635109612948,0,0,0,0
420,608.1758931233971,0,0,0,0
421,608.2285812893475,0,0,0,0
422,608.2197439369106,0,0,0,0
423,608.2269081776503,0,0,0,0
424,608.2835750333888,0,0,0,0
425,608.2681209834326,0,0,0,0
426,608.3196221887645,0,0,0,0
427,608.3726143806192,0,0,0,0
428,608.4380854252529,0,0,0,0
429,608.4649801355457,0,0,0,0
430,608.5231023871689,0,0,0,0
431,608.5718738007466,0,0,0,0
432,608.6399670461007,0,0,0,0
433,608.6552798267656,0,0,0,0
434,608.7141965894912,0,0,0,0
435,608.6994914843813,0,0,0,0
436,608.7645495951417,0,0,0,0
437,608.8228975394785,0,0,0,0
438,608.8134991525812,0,0,0,0
439,608.7704357960648,0,0,0,0
440,608.8134613411172,0,0,0,0
441,608.825569623133,0,0,0,0
442,608.8730178549132,0,0,0,0
443,608.9278707835897,0,0,0,0
444,608.9943356548481,0,0,0,0
445,609.0480675947025,0,0,0,0
446,609.0500112536574,0,0,0,0
447,609.0348250884384,0,0,0,0
448,609.0519706033923,0,0,0,0
449,609.0785506598077,0,0,0,0
450,609.1553747963669,0,0,0,0
451,609.1368394093936,0,0,0,0
452,609.1448779349505,0,0,0,0
453,609.1392880904857,0,0,0,0
454,609.1790415717162,0,0,0,0
455,609.2316604872881,0,0,0,0
456,609.2293226459966,0,0,0,0
457,609.3115249395737,0,0,0,0
458,609.3874904067536,0,0,0,0
459,609.4099714507607,0,0,0,0
460,609.3880033190671,0,0,0,0
461,609.4058897871136,0,0,0,0
462,609.4342963349419,0,0,0,0
463,609.4173173694256,0,0,0,0
464,609.4137897448107,0,0,0,0
465,609.3628663720925,0,0,0,0
466,609.3989714951055,0,0,0,0
467,609.3894998493522,0,0,0,0
468,609.4273610738255,0,0,0,0
469,609.4895459367933,0,0,0,0
470,609.5301452188977,0,0,0,0
471,609.6004504071809,0,0,0,0
472,609.6586877355879,0,0,0,0
473,609.6408536779788,0,0,0,0
474,609.6454299506657,0,0,0,0
475,609.6870480365064,0,0,0,0
476,609.6787495245742,0,0,0,0
477,609.6647298879059,0,0,0,0
478,609.6689750984066,0,0,0,0
479,609.6381416551999,0,0,0,0
480,609.6382356333288,0,0,0,0
481,609.6444581641622,0,0,0,0
482,609.6431151854326,0,0,0,0
483,609.6513733744581,0,0,0,0
484,609.6539153400643,0,0,0,0
485,609.6644733428124,0,0,0,0
486,609.6635827730179,0,0,0,0
487,609.721487193269,0,0,0,0
488,609.6868249203058,0,0,0,0
489,609.7432001153046,0,0,0,0
490,609.7425774106721,0,0,0,0
491,609.7257133483026,0,0,0,0
492,609.7024556518891,0,0,0,0
493,609.6867010677975,0,0,0,0
494,609.6473522092122,0,0,0,0
495,609.6757480427191,0,0,0,0
496,609.6709678730365,0,0,0,0
497,609.6903288632814,0,0,0,0
498,609.723111502597,0,0,0,0
499,609.7333852124348,0,0,0,0
500,609.7742791152709,0,0,0,0
501,609.8168283942664,0,0,0,0
502,609.8512166696808,0,0,0,0
503,609.8640092258323,0,0,0,0
504,609.8568854543089,0,0,0,0
505,609.894439782626,0,0,0,0
506,609.918724074665,0,0,0,0
507,609.9149287590544,0,0,0,0
508,609.8803047006128,0,0,0,0
509,609.8882002974715,0,0,0,0
510,609.9490123114683,0,0,0,0
511,609.9617470147264,0,0,0,0
512,609.9675177444796,0,0,0,0
513,609.9877997186064,0,0,0,0
514,609.977419164735,0,0,0,0
515,609.9452914358546,0,0,0,0
516,609.9647598642051,0,0,0,0
517,609.9725590113044,0,0,0,0
518,609.9901301687518,0,0,0,0
519,609.9765573323995,0,0,0,0
520,610.0033107117545,0,0,0,0
521,610.0184978827724,0,0,0,0
522,609.9972336947585,0,0,0,0
523,609.9854399397515,0,0,0,0
524,610.0334865523788,0,0,0,0
525,610.0010485205279,0,0,0,0
526,610.09989538243,0,0,0,0
527,610.1443026330919,0,0,0,0
528,610.1738643970546,0,0,0,0
529,610.1855794106135,0,0,0,0
530,610.153248782719,0,0,0,0
531,610.1622092027924,0,0,0,0
532,610.1711407165443,0,0,0,0
533,610.1913232186348,0,0,0,0
534,610.1928508593536,0,0,0,0
535,610.1957597506847,0,0,0,0
536,610.2150875109566,0,0,0,0
537,610.2293740239703,0,0,0,0
538,610.2556540686753,0,0,0,0
539,610.2544230570895,0,0,0,0
540,610.2347734141799,0,0,0,0
541,610.2537151717245,0,0,0,0
542,610.2234779608546,0,0,0,0
543,610.265482937361,0,0,0,0
544,610.2377422291586,0,0,0,0
